ID,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
1719,72000.0,newly repaired,Center,11,Tsitsernakaberd Highway,2,Yerevan,67.0,http://www.myrealty.am/en/item/35137/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,9,3.0
2817,80000.0,newly repaired,Arabkir,5,Komitas Ave,3,Yerevan,75.0,http://www.myrealty.am/en/item/17923/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3.2
6710,204000.0,newly repaired,Center,4,Saryan St,4,Yerevan,140.0,http://www.myrealty.am/en/item/38137/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,4,2.8
5749,68000.0,good,Arabkir,5,Aghbyur Serob St,3,Yerevan,79.0,http://www.myrealty.am/en/item/31450/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,3,2.8
4747,39000.0,newly repaired,Erebuni,9,Rostovyan St,1,Yerevan,45.0,http://www.myrealty.am/en/item/35365/1-senyakanoc-bnakaran-vacharq-Yerevan-Erebuni,1,panel,2,2.8
2691,85000.0,good,Center,4,Tigran Mets Ave,3,Yerevan,100.0,http://www.myrealty.am/en/item/13175/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.0
4989,65000.0,newly repaired,Avan,14,Charents disrtict,3,Yerevan,92.0,http://www.myrealty.am/en/item/33963/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,3,2.8
4426,55000.0,newly repaired,Malatia-Sebastia,14,Z.Andranik St,3,Yerevan,85.0,http://www.myrealty.am/en/item/35798/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,12,2.8
5368,120000.0,newly repaired,Arabkir,5,Kievyan St,3,Yerevan,93.0,http://www.myrealty.am/en/item/23343/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,1,3.0
2701,210000.0,good,Center,4,Tigran Mets Ave,4,Yerevan,97.0,http://www.myrealty.am/en/item/37799/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,2.8
5349,75000.0,newly repaired,Center,4,Khanjyan St,3,Yerevan,76.0,http://www.myrealty.am/en/item/30458/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
5215,158000.0,newly repaired,Center,5,Sayat Nova Ave,4,Yerevan,120.0,http://www.myrealty.am/en/item/18075/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,3,3.2
4875,68000.0,good,Center,6,Antarayin St,2,Yerevan,65.0,http://www.myrealty.am/en/item/1957/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,2,2.8
3286,77000.0,newly repaired,Arabkir,4,Azatutyan alley,3,Yerevan,105.0,http://www.myrealty.am/en/item/14817/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,3,stone,2,3.0
3575,69900.0,newly repaired,Davtashen,14,Davtashen 2 district,3,Yerevan,78.0,http://www.myrealty.am/en/item/36704/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,10,2.8
2965,65000.0,good,Qanaqer-Zeytun,16,Rubinyants St,3,Yerevan,90.0,http://www.myrealty.am/en/item/21381/3-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,panel,16,2.8
4945,81000.0,newly repaired,Center,4,Charents St,2,Yerevan,67.0,http://www.myrealty.am/en/item/99/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.0
771,300000.0,newly repaired,Center,5,Tamanyan St,3,Yerevan,112.0,http://www.myrealty.am/en/item/22155/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
5589,36000.0,good,Malatia-Sebastia,9,Z.Andranik St,2,Yerevan,67.0,http://www.myrealty.am/en/item/23403/2-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,2,2.8
5046,55000.0,good,Malatia-Sebastia,9,Z.Andranik St,3,Yerevan,103.0,http://www.myrealty.am/en/item/29979/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,8,2.8
1364,138000.0,newly repaired,Center,4,Tigran Mets Ave,3,Yerevan,86.0,http://www.myrealty.am/en/item/468/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.2
6019,85000.0,good,Center,9,Tigran Mets Ave,3,Yerevan,96.0,http://www.myrealty.am/en/item/17055/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,8,2.8
2448,115000.0,good,Avan,9,Avan-Arinj 1 micro,3,Yerevan,94.0,http://www.myrealty.am/en/item/37813/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,6,2.8
3842,64000.0,newly repaired,Qanaqer-Zeytun,16,Droi St,2,Yerevan,67.0,http://www.myrealty.am/en/item/33813/2-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,panel,13,2.8
4654,70000.0,newly repaired,Davtashen,9,Davtashen 4 district,4,Yerevan,97.0,http://www.myrealty.am/en/item/28024/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,7,2.8
2812,80000.0,newly repaired,Center,5,Amiryan St,2,Yerevan,36.0,http://www.myrealty.am/en/item/20094/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
